Region, Date,UnemploymentRate
Gujarat,2019-09-30,6.29
Karnataka,2019-09-30,3.2
Kerala,2019-09-30,5.52
Jharkhand,2019-09-30,7.12
Kerala,2019-09-30,5.35
Tripura,2019-09-30,33.57
Puducherry,2019-09-30,0.0
Odisha,2019-09-30,4.31
Karnataka,2019-09-30,3.57
Tamil Nadu,2019-09-30,1.86
Maharashtra,2019-09-30,4.4
Bihar,2019-09-30,8.87
Punjab,2019-09-30,8.59
Telangana,2019-09-30,6.19
Madhya Pradesh,2019-09-30,3.08
Meghalaya,2019-09-30,0.24
Uttar Pradesh,2019-10-31,10.18
Delhi,2019-10-31,12.41
Puducherry,2019-10-31,1.17
Rajasthan,2019-10-31,13.02
Karnataka,2019-10-31,3.87
Gujarat,2019-10-31,5.45
Uttarakhand,2019-10-31,4.83
Kerala,2019-10-31,9.14
Chhattisgarh,2019-10-31,10.27
Haryana,2019-10-31,24.17
Uttarakhand,2019-10-31,4.72
Odisha,2019-10-31,4.28
Tripura,2019-10-31,27.54
Gujarat,2019-10-31,4.91
Jammu & Kashmir,2019-10-31,24.06
Delhi,2019-10-31,15.84
Odisha,2019-10-31,4.5
Chhattisgarh,2019-10-31,6.96
West Bengal,2019-10-31,7.83
Punjab,2019-10-31,13.75
Meghalaya,2019-10-31,3.7
West Bengal,2019-10-31,6.78
Jharkhand,2019-10-31,6.57
Maharashtra,2019-10-31,7.51
Kerala,2019-10-31,5.35
Assam,2019-10-31,4.65
Madhya Pradesh,2019-10-31,4.4
Andhra Pradesh,2019-10-31,4.7
Goa,2019-10-31,12.31
Jharkhand,2019-10-31,19.05
Bihar,2019-10-31,14.06
Telangana,2019-10-31,6.74
Himachal Pradesh,2019-10-31,15.81
Chandigarh,2019-10-31,13.99
Punjab,2019-10-31,12.56
Goa,2019-10-31,7.21
Telangana,2019-10-31,7.29
Sikkim,2019-10-31,5.48
Maharashtra,2019-10-31,3.81
Karnataka,2019-10-31,7.13
Haryana,2019-10-31,21.04
Himachal Pradesh,2019-10-31,23.77
Rajasthan,2019-10-31,14.66
Puducherry,2019-10-31,1.18
Tamil Nadu,2019-10-31,1.46
Andhra Pradesh,2019-10-31,3.52
Tamil Nadu,2019-10-31,1.13
Madhya Pradesh,2019-10-31,2.98
Tripura,2019-10-31,26.67
Jammu & Kashmir,2019-10-31,19.27
Uttar Pradesh,2019-10-31,10.35
Sikkim,2019-10-31,9.68
Bihar,2019-10-31,12.47
Assam,2019-10-31,11.17
Meghalaya,2019-10-31,7.2
Telangana,2019-11-30,5.23
Meghalaya,2019-11-30,1.5
Madhya Pradesh,2019-11-30,6.06
Jharkhand,2019-11-30,8.07
Goa,2019-11-30,23.71
Bihar,2019-11-30,17.62
Delhi,2019-11-30,16.11
Assam,2019-11-30,4.66
Kerala,2019-11-30,6.71
Gujarat,2019-11-30,4.68
Chhattisgarh,2019-11-30,2.77
Andhra Pradesh,2019-11-30,7.54
Maharashtra,2019-11-30,3.68
Chhattisgarh,2019-11-30,8.32
Odisha,2019-11-30,2.23
Assam,2019-11-30,6.31
Madhya Pradesh,2019-11-30,2.72
West Bengal,2019-11-30,5.83
Chandigarh,2019-11-30,22.05
Puducherry,2019-11-30,1.37
Jammu & Kashmir,2019-11-30,14.29
Delhi,2019-11-30,11.11
Tripura,2019-11-30,25.25
Haryana,2019-11-30,16.59
Gujarat,2019-11-30,7.53
Telangana,2019-11-30,6.47
Meghalaya,2019-11-30,3.02
Uttar Pradesh,2019-11-30,11.31
Rajasthan,2019-11-30,14.3
Tripura,2019-11-30,27.15
Tamil Nadu,2019-11-30,2.46
Puducherry,2019-11-30,0.0
Haryana,2019-11-30,27.06
Sikkim,2019-11-30,13.11
Rajasthan,2019-11-30,10.47
Punjab,2019-11-30,7.07
Karnataka,2019-11-30,1.19
Himachal Pradesh,2019-11-30,22.86
Sikkim,2019-11-30,4.04
Himachal Pradesh,2019-11-30,27.27
Jammu & Kashmir,2019-11-30,14.73
Maharashtra,2019-11-30,7.6
Odisha,2019-11-30,4.72
West Bengal,2019-11-30,6.61
Goa,2019-11-30,25.2
Uttar Pradesh,2019-11-30,6.94
Tamil Nadu,2019-11-30,2.65
Punjab,2019-11-30,10.39
Jharkhand,2019-11-30,17.34
Kerala,2019-11-30,5.0
Uttarakhand,2019-11-30,6.34
Karnataka,2019-11-30,3.44
Uttarakhand,2019-11-30,5.56
Andhra Pradesh,2019-11-30,4.12
Bihar,2019-11-30,12.4
Kerala,2019-12-31,10.77
Jharkhand,2019-12-31,15.15
Andhra Pradesh,2019-12-31,4.38
Karnataka,2019-12-31,0.41
Delhi,2019-12-31,16.97
Haryana,2019-12-31,23.65
Uttarakhand,2019-12-31,7.39
Madhya Pradesh,2019-12-31,6.2
Odisha,2019-12-31,3.36
Meghalaya,2019-12-31,5.21
West Bengal,2019-12-31,7.24
Madhya Pradesh,2019-12-31,2.94
Tripura,2019-12-31,33.48
Goa,2019-12-31,16.22
Maharashtra,2019-12-31,7.83
Gujarat,2019-12-31,5.71
Chhattisgarh,2019-12-31,6.11
Delhi,2019-12-31,11.07
Chhattisgarh,2019-12-31,3.57
Telangana,2019-12-31,4.22
Jammu & Kashmir,2019-12-31,7.02
Chandigarh,2019-12-31,8.33
Goa,2019-12-31,3.54
Kerala,2019-12-31,7.31
Jharkhand,2019-12-31,22.01
Andhra Pradesh,2019-12-31,7.88
Bihar,2019-12-31,10.16
Tamil Nadu,2019-12-31,8.05
Rajasthan,2019-12-31,18.04
West Bengal,2019-12-31,5.79
Uttar Pradesh,2019-12-31,12.37
Meghalaya,2019-12-31,1.8
Telangana,2019-12-31,1.35
Uttarakhand,2019-12-31,4.52
Karnataka,2019-12-31,1.56
Haryana,2019-12-31,29.56
Odisha,2019-12-31,4.67
Punjab,2019-12-31,11.97
Tripura,2019-12-31,26.53
Uttar Pradesh,2019-12-31,8.43
Tamil Nadu,2019-12-31,3.73
Puducherry,2019-12-31,5.21
Gujarat,2019-12-31,3.46
Rajasthan,2019-12-31,13.96
Puducherry,2019-12-31,1.99
Bihar,2019-12-31,14.91
Punjab,2019-12-31,6.13
Himachal Pradesh,2019-12-31,19.46
Assam,2019-12-31,5.02
Sikkim,2019-12-31,1.0
Sikkim,2019-12-31,7.37
Himachal Pradesh,2019-12-31,25.32
Maharashtra,2019-12-31,3.03
Himachal Pradesh,2020-01-31,16.67
Tripura,2020-01-31,31.91
Uttarakhand,2020-01-31,8.92
Jharkhand,2020-01-31,22.96
Odisha,2020-01-31,1.81
Haryana,2020-01-31,16.21
Telangana,2020-01-31,5.02
Karnataka,2020-01-31,2.57
Kerala,2020-01-31,6.65
Rajasthan,2020-01-31,8.0
Andhra Pradesh,2020-01-31,4.84
Jharkhand,2020-01-31,6.16
Chhattisgarh,2020-01-31,9.89
Maharashtra,2020-01-31,6.67
Rajasthan,2020-01-31,18.82
Haryana,2020-01-31,27.24
Tamil Nadu,2020-01-31,1.18
Puducherry,2020-01-31,0.58
Gujarat,2020-01-31,5.82
Meghalaya,2020-01-31,4.76
Himachal Pradesh,2020-01-31,18.15
Goa,2020-01-31,10.92
Jammu & Kashmir,2020-01-31,22.19
Puducherry,2020-01-31,0.57
Punjab,2020-01-31,9.69
Karnataka,2020-01-31,3.31
Bihar,2020-01-31,9.13
Tripura,2020-01-31,34.37
Andhra Pradesh,2020-01-31,7.11
Assam,2020-01-31,7.24
Jammu & Kashmir,2020-01-31,18.54
Chandigarh,2020-01-31,20.0
Madhya Pradesh,2020-01-31,3.66
Madhya Pradesh,2020-01-31,5.17
Bihar,2020-01-31,20.69
Goa,2020-01-31,5.38
Maharashtra,2020-01-31,3.8
Gujarat,2020-01-31,5.35
Chhattisgarh,2020-01-31,9.01
Telangana,2020-01-31,6.49
Uttar Pradesh,2020-01-31,6.06
Odisha,2020-01-31,2.28
Punjab,2020-01-31,13.68
Delhi,2020-01-31,13.48
Kerala,2020-01-31,4.11
West Bengal,2020-01-31,6.79
Uttar Pradesh,2020-01-31,12.34
Tamil Nadu,2020-01-31,2.05
West Bengal,2020-01-31,7.27
Delhi,2020-01-31,22.45
Uttarakhand,2020-01-31,4.17
Meghalaya,2020-01-31,0.97
Assam,2020-01-31,4.29
Maharashtra,2020-02-29,5.34
Himachal Pradesh,2020-02-29,27.31
Madhya Pradesh,2020-02-29,4.96
Kerala,2020-02-29,6.08
Jharkhand,2020-02-29,19.67
Karnataka,2020-02-29,2.88
Jammu & Kashmir,2020-02-29,19.86
Telangana,2020-02-29,9.02
Haryana,2020-02-29,23.29
Tamil Nadu,2020-02-29,1.17
Punjab,2020-02-29,10.41
Puducherry,2020-02-29,1.74
Odisha,2020-02-29,3.31
Tamil Nadu,2020-02-29,3.31
Meghalaya,2020-02-29,2.76
Maharashtra,2020-02-29,4.24
Bihar,2020-02-29,9.61
Madhya Pradesh,2020-02-29,4.42
Telangana,2020-02-29,6.74
Rajasthan,2020-02-29,17.02
Kerala,2020-02-29,8.91
Jharkhand,2020-02-29,9.06
Tripura,2020-02-29,33.88
Jammu & Kashmir,2020-02-29,21.23
Himachal Pradesh,2020-02-29,15.42
Haryana,2020-02-29,27.19
Uttar Pradesh,2020-02-29,11.65
Gujarat,2020-02-29,6.64
Goa,2020-02-29,0.0
Delhi,2020-02-29,13.81
Uttarakhand,2020-02-29,5.28
Karnataka,2020-02-29,4.11
Chhattisgarh,2020-02-29,7.89
Rajasthan,2020-02-29,14.48
Puducherry,2020-02-29,1.78
Chhattisgarh,2020-02-29,9.79
Chandigarh,2020-02-29,16.67
Odisha,2020-02-29,2.19
Meghalaya,2020-02-29,7.37
Tripura,2020-02-29,26.22
Bihar,2020-02-29,15.11
Assam,2020-02-29,9.98
Andhra Pradesh,2020-02-29,5.66
West Bengal,2020-02-29,7.55
Delhi,2020-02-29,14.86
Goa,2020-02-29,4.31
West Bengal,2020-02-29,3.78
Uttarakhand,2020-02-29,4.85
Assam,2020-02-29,3.26
Uttar Pradesh,2020-02-29,8.12
Gujarat,2020-02-29,6.04
Andhra Pradesh,2020-02-29,5.91
Punjab,2020-02-29,11.99
Meghalaya,2020-03-31,2.8
West Bengal,2020-03-31,6.67
Uttar Pradesh,2020-03-31,12.32
Punjab,2020-03-31,9.97
Telangana,2020-03-31,6.1
Odisha,2020-03-31,3.96
Madhya Pradesh,2020-03-31,4.8
Tamil Nadu,2020-03-31,6.46
Puducherry,2020-03-31,0.62
Sikkim,2020-03-31,20.45
Maharashtra,2020-03-31,6.34
Rajasthan,2020-03-31,18.54
Tripura,2020-03-31,25.69
Uttarakhand,2020-03-31,8.15
Andhra Pradesh,2020-03-31,9.88
Uttar Pradesh,2020-03-31,9.37
Goa,2020-03-31,4.76
Delhi,2020-03-31,17.09
Bihar,2020-03-31,15.39
Chhattisgarh,2020-03-31,8.21
Chandigarh,2020-03-31,21.43
Kerala,2020-03-31,8.85
Haryana,2020-03-31,23.92
Punjab,2020-03-31,10.51
Madhya Pradesh,2020-03-31,1.19
Assam,2020-03-31,10.34
Gujarat,2020-03-31,5.39
Maharashtra,2020-03-31,5.38
West Bengal,2020-03-31,7.02
Meghalaya,2020-03-31,1.28
Delhi,2020-03-31,15.18
Tripura,2020-03-31,31.61
Telangana,2020-03-31,5.63
Odisha,2020-03-31,15.09
Tamil Nadu,2020-03-31,6.36
Puducherry,2020-03-31,2.31
Rajasthan,2020-03-31,9.47
Gujarat,2020-03-31,7.59
Chhattisgarh,2020-03-31,7.31
Haryana,2020-03-31,27.14
Bihar,2020-03-31,15.73
Karnataka,2020-03-31,2.39
Kerala,2020-03-31,9.14
Karnataka,2020-03-31,4.92
Andhra Pradesh,2020-03-31,4.06
Jharkhand,2020-03-31,16.4
Jammu & Kashmir,2020-03-31,14.29
Himachal Pradesh,2020-03-31,17.71
Jharkhand,2020-03-31,5.01
Himachal Pradesh,2020-03-31,26.44
